volume,page,anchor text,link
1,186,666,https://www.govinfo.gov/content/pkg/USCODE-2009-title18/html/USCODE-2009-title18-partI-chap31-sec666.htm
1,186,641,https://www.govinfo.gov/content/pkg/USCODE-2009-title18/html/USCODE-2009-title18-partI-chap31-sec641.htm
1,191,18 U.S.C. § 1001,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap47-sec1001.htm
1,191,18 U.S.C. § 1001,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap47-sec1001.htm
1,192,18 U.S.C. § 1623,https://www.govinfo.gov/content/pkg/USCODE-2009-title18/html/USCODE-2009-title18-partI-chap79-sec1623.htm
1,192,18 U.S.C. § 1621,https://www.govinfo.gov/content/pkg/USCODE-2009-title18/html/USCODE-2009-title18-partI-chap79-sec1621.htm
1,193,United States v. George Papadopoulos,https://www.justice.gov/file/1007346/download
1,193,Papadopoulos Statement of Offense,https://www.justice.gov/file/1007346/download
1,193,United States v. George Papadopoulos,https://www.politico.com/f/?id=00000165-4ab8-d0d5-af75-fbfc1ad30001
1,194,18 U.S.C. § 1001,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap47-sec1001.htm
1,194,United States v. George Papadopoulos,https://www.justice.gov/file/1007336/download
1,194,Flynn,https://www.justice.gov/file/1015126/download
1,194, Statement of Offense,https://www.justice.gov/file/1015126/download
1,194,Flynn,https://www.justice.gov/file/1015126/download
1,194, Statement of Offense,https://www.justice.gov/file/1015126/download
1,195,Flynn,https://www.justice.gov/file/1015126/download
1,195, Statement of Offense,https://www.justice.gov/file/1015126/download
1,195,Flynn,https://www.justice.gov/file/1015126/download
1,195, Statement of Offense,https://www.justice.gov/file/1015126/download
1,195,18 U.S.C. § 1001,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap47-sec1001.htm
1,195,"Plea Agreement,",https://www.justice.gov/file/1015121/download
1,195, United States v. Michael T. Flynn,https://www.justice.gov/file/1015121/download
1,195,"Information ¶ 1, ",https://www.justice.gov/file/1115596/download
1,195,United States v. Cohen,https://www.justice.gov/file/1115596/download
1,195,Cohen,https://www.justice.gov/file/1115596/download
1,195, Information,https://www.justice.gov/file/1115596/download
1,195,Cohen,https://www.justice.gov/file/1115596/download
1,195, Information,https://www.justice.gov/file/1115596/download
1,196,Cohen,https://www.justice.gov/file/1115596/download
1,196, Information,https://www.justice.gov/file/1115596/download
1,196,Cohen,https://www.justice.gov/file/1115596/download
1,196, Information,https://www.justice.gov/file/1115596/download
1,196,Cohen,https://www.justice.gov/file/1115596/download
1,196, Information,https://www.justice.gov/file/1115596/download
1,196,18 U.S.C. § 1001,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap47-sec1001.htm
1,196,Cohen,https://www.justice.gov/file/1115596/download
1,196, Information,https://www.justice.gov/file/1115596/download
1,199,Justice Manual §§ 9-27.220,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution#9-27.220
1,199,9-27.230,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution#9-27.230
2,1,28 U.S.C. § 515,https://www.govinfo.gov/content/pkg/USCODE-2011-title28/html/USCODE-2011-title28-partII-chap31-sec515.htm
2,1,28 C.F.R. § 600.7,https://www.govinfo.gov/content/pkg/CFR-2000-title28-vol2/pdf/CFR-2000-title28-vol2-sec600-7.pdf
2,2,Justice Manual § 9-27.220,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution#9-27.220
2,2,Justice Manual § 9-27.220,https://www.justice.gov/jm/jm-9-27000-principles-federal-prosecution#9-27.220
2,7,18 U.S.C. §§ 1503,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap73-sec1503.htm
2,7,1505,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap73-sec1505.htm
2,7,1512,https://www.govinfo.gov/content/pkg/USCODE-2010-title18/html/USCODE-2010-title18-partI-chap73-sec1512.htm
